iri	iri label	pathogen	pathogen label	host	host label
OOPS:0000575	Gibberella canker	NCBITaxon_5523	(anamorph: Fusarium lateritium Nees:Fr.)	NCBITaxon_23211	Pyrus communis L.
OOPS:0001059	Gummy stem blight (vine decline)	NCBITaxon_749889	(anamorph: Phoma cucurbitacearum (Fr.:Fr.) Sacc.)	NCBITaxon_3653	Citrullus
OOPS:0001120	Gummy stem blight (vine decline)	NCBITaxon_749889	(anamorph: Phoma cucurbitacearum (Fr.:Fr.) Sacc.)	NCBITaxon_3655	Cucumis
OOPS:0001256	Gummy stem blight (vine decline)	NCBITaxon_749889	(anamorph: Phoma cucurbitacearum (Fr.:Fr.) Sacc.)	NCBITaxon_3660	Cucurbita
OOPS:0001378	Black leg (leaf, root and stem rot)	NCBITaxon_5022	(anamorph: Phoma lingam (Tode Fr.) Desmaz.)	NCBITaxon_3707	Brassica juncea var. crispifolia
OOPS:0001335	Black leg and Phoma root rot	NCBITaxon_5022	(anamorph: Phoma lingam (Tode: Fr.) Desmaz.)	NCBITaxon_3705	Brassica
OOPS:0001474	Black leg and Phoma root rot	NCBITaxon_5022	(anamorph: Phoma lingam (Tode: Fr.) Desmaz.)	NCBITaxon_3725	Raphanus
OOPS:0001011	Purple stem	NCBITaxon_1590087	(anamorph: Phomopsis cucurbitae McKeen)	NCBITaxon_3653	Citrullus
OOPS:0001072	Purple stem	NCBITaxon_1590087	(anamorph: Phomopsis cucurbitae McKeen)	NCBITaxon_3655	Cucumis
OOPS:0001208	Purple stem	NCBITaxon_1590087	(anamorph: Phomopsis cucurbitae McKeen)	NCBITaxon_3660	Cucurbita
OOPS:0003468	Violet root rot	NCBITaxon_5574	(anamorph: Rhizoctonia crocorum (Pers.:Fr.) DC.)	NCBITaxon_57577	Trifolium pratense L.
OOPS:0002869	Aggregate sheath spot	NCBITaxon_63189	(anamorph: Rhizoctonia oryzae-sativae (Sawada) Mordue)	NCBITaxon_4530	Oryza sativa L.
OOPS:0002861	Sheath blight	NCBITaxon_456999	(anamorph: Rhizoctonia solani Kühn)	NCBITaxon_4530	Oryza sativa L.
OOPS:0000545	Mycosphaerella leaf spot (ashy leaf spot and fruit spot)	NCBITaxon_215468	(anamorph: Septoria pyricola (Desmaz.) Desmaz.)	NCBITaxon_23211	Pyrus communis L.
OOPS:0002747	Ergot	NCBITaxon_5111	(anamorph: Sphacelia segetum Lév.)	NCBITaxon_4498	Avena sativa L.
OOPS:0002915	Ergot	NCBITaxon_5111	(anamorph: Sphacelia segetum Lév.)	NCBITaxon_4550	Secale cereale L.
OOPS:0001912	Pleospora leaf spot	NCBITaxon_33177	(anamorph: Stemphylium herbarum Simmons)	NCBITaxon_3827	Cicer arietinum L.
OOPS:0000552	Nectria twig blight (coral spot)	NCBITaxon_29877	(anamorph: Tubercularia vulgaris Tode)	NCBITaxon_23211	Pyrus communis L.
OOPS:0000550	Fly speck	NCBITaxon_286617	(anamorph: Zygophiala jamaicensis E. Mason)	NCBITaxon_23211	Pyrus communis L.
OOPS:0000917	Cushion gall (green-point gall)	NCBITaxon_57161	(Fusarium decemcellulare C. Brick. – syn)	NCBITaxon_3641	Theobroma cacao L.
OOPS:0002392	Sclerotial blight	NCBITaxon_39291	(syn. Athelia rolfsii [Curzi] Tu & Kimbr.)	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0002362	Geotrichum sour rot	NCBITaxon_1173061	(syn. Geotrichum candidum Link)	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0002412	Fusarium surface rot	NCBITaxon_57162	(syn. Hypomyces ipomoeae [Halst.] Wollenw.)	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0002375	Phymatotrichum root rot (Cotton root rot, Texas root rot)	NCBITaxon_231936	(syn. Phymatotrichum omnivorum [Shear] Duggar)	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0002359	Rhizoctonia stem canker	NCBITaxon_107832	(syn. Thanatephorus cucumeris [A. B. Frank] Donk)	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0001796	Blackhull	NCBITaxon_124036	(synanamorph: Chalara elegans Nag Raj & Kendrick)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0002212	Damping-off, root rot, and seedling blight	NCBITaxon_124036	(synanamorph: Chalara elegans Nag Raj & Kendrick)	NCBITaxon_4005	Linum usitatissimum
OOPS:0002213	Damping-off, root rot, and seedling blight	NCBITaxon_124036	(synanamorph: Chalara elegans Nag Raj & Kendrick)	NCBITaxon_4005	Linum
OOPS:0003443	Black root rot	NCBITaxon_124036	(synanamorph: Chalara elegans Nag Raj & Kendrick)	NCBITaxon_57577	Trifolium pratense L.
OOPS:0002848	Stem rot	NCBITaxon_165778	(synanamorphs: Sclerotium oryzae Cattaneo, Nakataea sigmoidae (Cavara) K. Hara)	NCBITaxon_4530	Oryza sativa L.
OOPS:0002396	Java black rot	NCBITaxon_45133	(syns. Botryodiplodia gossypii Ellis & Barthol.; B. theobromae Pat.; Botryosphaeria rhodina [Berk. & M. A. Curtis] Arx; Diplodia cacaoicola Henn.; D. gossypina Cooke; D. theobromae [Pat.] W. Nowell; D. tubericola [Ellis & Everh.] Petr.; L. tubericola Ellis & Everh.)	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0002371	Dry rot	NCBITaxon_1807034	(syns. D. batatatis Harter & E. C. Field; Phomopsis phaseoli [Desm.] Sacc.)	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0002363	Phyllosticta leaf blight (Phomopsis leaf spot)	NCBITaxon_1218802	(syns. Depazea batatas Thüm; Phyllosticta batatas [Thüm.] Cooke)	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0002409	Bacterial stem and root rot	NCBITaxon_556	(syns. Erwinia chrysanthemi Burkholder et al.; Pectobacterium chrysanthemi [Burkholder et al.] Brenner et al.)	NCBITaxon_4120	Ipomoea batatas [L.] Lam.
OOPS:0001548	Shoot stunting (= almond enation)	NCBITaxon_12275	(TBRV)	NCBITaxon_3760	Prunus persica
OOPS:0001549	Shoot stunting (= almond enation)	NCBITaxon_12275	(TBRV)	NCBITaxon_3760	Prunus persica var. nucipersica
OOPS:0000037	Collar rot	NCBITaxon_57150	(telemorph = Gibberella stilboides)	NCBITaxon_13443	Coffea arabica
OOPS:0003361	Collar rot	NCBITaxon_57150	(telemorph = Gibberella stilboides)	NCBITaxon_49390	Coffea canephora
OOPS:0000035	Bark disease	NCBITaxon_57150	(teleomorph = Gibberella stilboides)	NCBITaxon_13443	Coffea arabica
OOPS:0003359	Bark disease	NCBITaxon_57150	(teleomorph = Gibberella stilboides)	NCBITaxon_49390	Coffea canephora
OOPS:0000029	Anthracnose	NCBITaxon_474922	(teleomorph = Glomerella cingulata (Stonem.) Spauld, & Shrenk.)	NCBITaxon_13443	Coffea arabica
OOPS:0003353	Anthracnose	NCBITaxon_474922	(teleomorph = Glomerella cingulata (Stonem.) Spauld, & Shrenk.)	NCBITaxon_49390	Coffea canephora
OOPS:0000030	Brown blight	NCBITaxon_474922	(teleomorph = Glomerella cingulata (Stonem.) Spauld. & Schrenk	NCBITaxon_13443	Coffea arabica
OOPS:0003354	Brown blight	NCBITaxon_474922	(teleomorph = Glomerella cingulata (Stonem.) Spauld. & Schrenk	NCBITaxon_49390	Coffea canephora
OOPS:0002254	Southern stem rot (southern blight)	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Cursi) Tu & Kimbrough)	NCBITaxon_4097	Nicotiana tabacum L.
OOPS:0001920	Collar rot	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough	NCBITaxon_3827	Cicer arietinum L.
OOPS:0001980	Collar rot	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough	NCBITaxon_3864	Lens culinaris Medik.
OOPS:0000951	Sclerotium blight	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_3649	Carica papaya L.
OOPS:0001030	Southern blight (Sclerotium fruit and stem rot)	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_3653	Citrullus
OOPS:0001091	Southern blight (Sclerotium fruit and stem rot)	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_3655	Cucumis
OOPS:0001227	Southern blight (Sclerotium fruit and stem rot)	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_3660	Cucurbita
OOPS:0001312	Southern blight	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_3705	Brassica
OOPS:0001371	Southern blight	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_3707	Brassica juncea var. crispifolia
OOPS:0001467	Southern blight	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_3725	Raphanus
OOPS:0001824	Stem rot (southern blight)	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0002196	Sclerotium root rot (southern blight)	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_3983	Manihot esculenta Crantz
OOPS:0002562	Sclerotium basal stalk and root rot (southern blight)	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_4232	Helianthus annuus
OOPS:0002627	Sclerotium basal stalk and root rot (southern blight)	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_4233	Helianthus tuberosus
OOPS:0002696	Southern blight	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_4236	Lactuca sativa L.
OOPS:0003019	Sclerotium ear rot* (southern blight)	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_4577	Zea mays L.
OOPS:0003369	Southern blight	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_49745	Dahlia sp.
OOPS:0003461	Southern blight	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough)	NCBITaxon_57577	Trifolium pratense L.
OOPS:0002859	Seedling blight	NCBITaxon_39291	(teleomorph: Athelia rolfsii (Curzi) Tu & Kimbrough), and other pathogenic fungi.	NCBITaxon_4530	Oryza sativa L.
OOPS:0000560	Botrytis spur and blossom blight	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_23211	Pyrus communis L.
OOPS:0001032	Gray mold	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_3653	Citrullus
OOPS:0001093	Gray mold	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_3655	Cucumis
OOPS:0001229	Gray mold	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_3660	Cucurbita
OOPS:0001318	Graymold	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_3705	Brassica
OOPS:0001469	Graymold	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_3725	Raphanus
OOPS:0001826	Botrytis blight	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0002256	Gray mold	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_4097	Nicotiana tabacum L.
OOPS:0002438	Botrytis hard rot	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_4222	Carthamus tinctorius L.
OOPS:0002698	Gray mold	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_4236	Lactuca sativa L.
OOPS:0003030	Ear rots, minor	NCBITaxon_40559	(teleomorph: Botryotinia fuckeliana (de Bary) Whetzel)	NCBITaxon_4577	Zea mays L.
OOPS:0000364	Cylindrocladium root rot	NCBITaxon_40623	(teleomorph: Calonectria kyotensis Terashita)	NCBITaxon_16719	Juglans nigra L.
OOPS:0002761	Sharp eyespot	NCBITaxon_76351	(teleomorph: Ceratobasidium cereale D. Murray & L.L. Burpee)	NCBITaxon_4498	Avena sativa L.
OOPS:0002927	Sharp eyespot and Rhizoctonia root rot	NCBITaxon_76351	(teleomorph: Ceratobasidium cereale D. Murray & L.L. Burpee)	NCBITaxon_4550	Secale cereale L.
OOPS:0003034	Curvularia leaf spot	NCBITaxon_418125	(teleomorph: Cochliobolus eragrostidis (Tsuda & Ueyama) Sivanesan	NCBITaxon_4577	Zea mays L.
OOPS:0003124	Curvularia leaf spot	NCBITaxon_95735	(teleomorph: Cochliobolus intermedius R.R. Nelson)	NCBITaxon_4577	Zea mays L.
OOPS:0003076	Curvularia leaf spot	NCBITaxon_5503	(teleomorph: Cochliobolus lunatus R.R. Nelson & Haasis)	NCBITaxon_4577	Zea mays L.
OOPS:0003002	Curvularia leaf spot	NCBITaxon_318706	(teleomorph: Cochliobolus pallescens (Tsuda & Ueyama) Sivanesan)	NCBITaxon_4577	Zea mays L.
OOPS:0002739	Head blight	NCBITaxon_45130	(teleomorph: Cochliobolus sativus (Ito & Kuribayashi) Drechs. ex Dastur)	NCBITaxon_4498	Avena sativa L.
OOPS:0002909	Black point	NCBITaxon_45130	(teleomorph: Cochliobolus sativus (Ito & Kuribayashi) Drechs. ex Dastur)	NCBITaxon_4550	Secale cereale L.
OOPS:0001802	Drechslera leaf spot	NCBITaxon_145392	(teleomorph: Cochliobolus spicifer R.R. Nelson)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0002935	Curvularia leaf spot	NCBITaxon_1056642	(teleomorph: Cochliobolus tuberculatus Sivanesan)	NCBITaxon_4577	Zea mays L.
OOPS:0002737	Victoria blight	NCBITaxon_40125	(teleomorph: Cochliobolus victoriae R.R. Nelson)	NCBITaxon_4498	Avena sativa L.
OOPS:0003024	Leaf spots, minor	NCBITaxon_40125	(teleomorph: Cochliobolus victoriae R.R. Nelson)	NCBITaxon_4577	Zea mays L.
OOPS:0002533	Phomopsis brown stem canker	NCBITaxon_158607	(teleomorph: Diaporthe helianthi M. Muntanola-Cvetkovic et al.)	NCBITaxon_4232	Helianthus annuus
OOPS:0002598	Phomopsis brown stem canker	NCBITaxon_158607	(teleomorph: Diaporthe helianthi M. Muntanola-Cvetkovic et al.)	NCBITaxon_4233	Helianthus tuberosus
OOPS:0001821	Phomopsis foliar blight	NCBITaxon_36923	(teleomorph: Diaporthe phaseolorum (Cooke & Ellis) Sacc.)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0001968	Ascochyta blight	NCBITaxon_1881153	(teleomorph: Didymella sp.)	NCBITaxon_3864	Lens culinaris Medik.
OOPS:0001859	Web blotch (net blotch)	NCBITaxon_749598	(teleomorph: Didymosphaeria arachidicola (Chochrjakov) Alcorn et al.	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0002185	Superelongation	NCBITaxon_1125789	(teleomorph: Elsinoe brasiliensis Bitancourt & Jenk.)	NCBITaxon_3983	Manihot esculenta Crantz
OOPS:0003079	Root rots, minor	NCBITaxon_5515	(teleomorph: Gibberella acuminata Wollenweb.)	NCBITaxon_4577	Zea mays L.
OOPS:0003026	Fusarium stalk rot, seedling root rot	NCBITaxon_40199	(teleomorph: Gibberella avenacea R.J. Cooke)	NCBITaxon_4577	Zea mays L.
OOPS:0002572	Fusarium wilt	NCBITaxon_5127	(teleomorph: Gibberella fujikuroi (Sawada) Ito in Ito & K. Kimura)	NCBITaxon_4232	Helianthus annuus
OOPS:0002637	Fusarium wilt	NCBITaxon_5127	(teleomorph: Gibberella fujikuroi (Sawada) Ito in Ito & K. Kimura)	NCBITaxon_4233	Helianthus tuberosus
OOPS:0003074	Fusarium kernel, root and stalk rot, seed rot and seedling blight	NCBITaxon_5127	(teleomorph: Gibberella fujikuroi (Sawada) Ito in Ito & K. Kimura)	NCBITaxon_4577	Zea mays L.
OOPS:0001052	Damping-off	NCBITaxon_61235	(teleomorph: Gibberella intricans Wollenweb.)	NCBITaxon_3653	Citrullus
OOPS:0001113	Damping-off	NCBITaxon_61235	(teleomorph: Gibberella intricans Wollenweb.)	NCBITaxon_3655	Cucumis
OOPS:0001249	Damping-off	NCBITaxon_61235	(teleomorph: Gibberella intricans Wollenweb.)	NCBITaxon_3660	Cucurbita
OOPS:0001850	Pod rot (pod breakdown)	NCBITaxon_61235	(teleomorph: Gibberella intricans Wollenweb.)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0002580	Fusarium stalk rot	NCBITaxon_61235	(teleomorph: Gibberella intricans Wollenweb.)	NCBITaxon_4232	Helianthus annuus
OOPS:0002645	Fusarium stalk rot	NCBITaxon_61235	(teleomorph: Gibberella intricans Wollenweb.)	NCBITaxon_4233	Helianthus tuberosus
OOPS:0001045	Fusarium fruit rot	NCBITaxon_5518	(teleomorph: Gibberella zeae (Schwein.) Petch	NCBITaxon_3653	Citrullus
OOPS:0001106	Fusarium fruit rot	NCBITaxon_5518	(teleomorph: Gibberella zeae (Schwein.) Petch	NCBITaxon_3655	Cucumis
OOPS:0001242	Fusarium fruit rot	NCBITaxon_5518	(teleomorph: Gibberella zeae (Schwein.) Petch	NCBITaxon_3660	Cucurbita
OOPS:0002753	Head blight	NCBITaxon_5518	(teleomorph: Gibberella zeae (Schwein.) Petch)	NCBITaxon_4498	Avena sativa L.
OOPS:0001376	Anthracnose	NCBITaxon_474922	(teleomorph: Glomerella cingulata (Stoneman) Spauld. & H. Schrenk)	NCBITaxon_3707	Brassica juncea var. crispifolia
OOPS:0001836	Colletotrichum leaf spot	NCBITaxon_474922	(teleomorph: Glomerella cingulata (Stoneman) Spauld. & H. Schrenk)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0002199	Anthracnose	NCBITaxon_474922	(teleomorph: Glomerella cingulata (Stoneman) Spauld. & Schrenk)	NCBITaxon_3983	Manihot esculenta Crantz
OOPS:0002267	Anthracnose	NCBITaxon_51633	(teleomorph: Glomerella glycines F. Lehm. and F.A. Wolf)	NCBITaxon_4097	Nicotiana tabacum L.
OOPS:0002729	Anthracnose	NCBITaxon_31870	(teleomorph: Glomerella graminicola Politis)	NCBITaxon_4498	Avena sativa L.
OOPS:0002901	Anthracnose	NCBITaxon_31870	(teleomorph: Glomerella graminicola Politis)	NCBITaxon_4550	Secale cereale L.
OOPS:0003000	Anthracnose leaf blight and anthracnose stalk rot	NCBITaxon_31870	(teleomorph: Glomerella graminicola Politis)	NCBITaxon_4577	Zea mays L.
OOPS:0001844	Zonate leaf spot	NCBITaxon_54682	(teleomorph: Grovesinia pyramidalis M. Cline et al.)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0003102	Dry ear rot (cob, kernel and stalk rot)	NCBITaxon_668251	(teleomorph: Khuskia oryzae H.J. Hudson)	NCBITaxon_4577	Zea mays L.
OOPS:0002547	Phoma black stem	NCBITaxon_301713	(teleomorph: Leptosphaeria lindquistii Frezzi)	NCBITaxon_4232	Helianthus annuus
OOPS:0002612	Phoma black stem	NCBITaxon_301713	(teleomorph: Leptosphaeria lindquistii Frezzi)	NCBITaxon_4233	Helianthus tuberosus
OOPS:0002844	Blast (leaf, neck [rotten neck], nodal and collar)	NCBITaxon_148305	(teleomorph: Magnaporthe grisea (Hebert) Barr)	NCBITaxon_4530	Oryza sativa L.
OOPS:0002566	Fusarium stalk rot	NCBITaxon_40658	(teleomorph: Monographella cucumerina (Lindfors) Arx)	NCBITaxon_4232	Helianthus annuus
OOPS:0002631	Fusarium stalk rot	NCBITaxon_40658	(teleomorph: Monographella cucumerina (Lindfors) Arx)	NCBITaxon_4233	Helianthus tuberosus
OOPS:0002708	Snow mold, pink (Fusarium patch)	NCBITaxon_101483	(teleomorph: Monographella nivalis (Schaffnit) E. Müller)	NCBITaxon_4498	Avena sativa L.
OOPS:0002877	Pink snow mold (Fusarium patch)	NCBITaxon_101483	(teleomorph: Monographella nivalis (Schaffnit) E. Müller)	NCBITaxon_4550	Secale cereale L.
OOPS:0001799	Leaf spot, early	NCBITaxon_143450	(teleomorph: Mycosphaerella arachidis Deighton)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0001809	Leaf spot, late	NCBITaxon_228896	(teleomorph: Mycosphaerella berkeleyi Jenk.)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0000997	Dry rot	NCBITaxon_749887	(teleomorph: Mycosphaerella caricae Syd. & P. Syd.)	NCBITaxon_3649	Carica papaya L.
OOPS:0002878	Septoria tritici blotch (speckled leaf blotch)	NCBITaxon_1047171	(teleomorph: Mycosphaerella graminicola (Fuckel) J. Schröt. in Cohn)	NCBITaxon_4550	Secale cereale L.
OOPS:0002218	Pasmo	NCBITaxon_215465	(teleomorph: Mycosphaerella linicola Naumov)	NCBITaxon_4005	Linum usitatissimum
OOPS:0002219	Pasmo	NCBITaxon_215465	(teleomorph: Mycosphaerella linicola Naumov)	NCBITaxon_4005	Linum
OOPS:0001937	Ascochyta blight	NCBITaxon_5454	(teleomorph: Mycosphaerella rabiei Kovachevski	NCBITaxon_3827	Cicer arietinum L.
OOPS:0000554	Cladosporium fruit rot	NCBITaxon_29918	(teleomorph: Mycosphaerella tassiana (De Not.) Johans.)	NCBITaxon_23211	Pyrus communis L.
OOPS:0002898	Black head molds	NCBITaxon_29918	(teleomorph: Mycosphaerella tassiana (De Not.) Johans.)	NCBITaxon_4550	Secale cereale L.
OOPS:0002994	Hormodendrum ear rot (Cladosporium rot)	NCBITaxon_29918	(teleomorph: Mycosphaerella tassiana (De Not.) Johans.)	NCBITaxon_4577	Zea mays L.
OOPS:0002984	Yellow leaf blight	NCBITaxon_259522	(teleomorph: Mycosphaerella zeae-maydis Mukunya & Boothroyd)	NCBITaxon_4577	Zea mays L.
OOPS:0001008	Crown and foot rot	NCBITaxon_140110	(teleomorph: Nectria haematococca Berk. & Broome)	NCBITaxon_3653	Citrullus
OOPS:0001069	Crown and foot rot	NCBITaxon_140110	(teleomorph: Nectria haematococca Berk. & Broome)	NCBITaxon_3655	Cucumis
OOPS:0001205	Crown and foot rot	NCBITaxon_140110	(teleomorph: Nectria haematococca Berk. & Broome)	NCBITaxon_3660	Cucurbita
OOPS:0001797	Pod rot (pod breakdown)	NCBITaxon_140110	(teleomorph: Nectria haematococca Berk. & Broome)	NCBITaxon_3818	Arachis hypogaea L.
OOPS:0002186	Fusarium root rot	NCBITaxon_140110	(teleomorph: Nectria haematococca Berk. & Broome)	NCBITaxon_3983	Manihot esculenta Crantz
OOPS:0002530	Fusarium stalk rot	NCBITaxon_140110	(teleomorph: Nectria haematococca Berk. & Broome)	NCBITaxon_4232	Helianthus annuus
OOPS:0002595	Fusarium stalk rot	NCBITaxon_140110	(teleomorph: Nectria haematococca Berk. & Broome)	NCBITaxon_4233	Helianthus tuberosus
OOPS:0002951	Stalk rots, minor	NCBITaxon_140110	(teleomorph: Nectria haematococca Berk. & Broome)	NCBITaxon_4577	Zea mays L.
OOPS:0003444	Fusarium root rot	NCBITaxon_140110	(teleomorph: Nectria haematococca Berk. & Broome)	NCBITaxon_57577	Trifolium pratense L.
OOPS:0003449	Cylindrocarpon root rot	NCBITaxon_1634535	(teleomorph: Nectria ramulariae (Wollenweb.) E. Müller)	NCBITaxon_57577	Trifolium pratense L.
